StationUID,ServiceAvailable,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime
TXG3001,1,43,53,2020-07-19T23:13:19+08:00
TXG3002,1,12,84,2020-07-19T23:13:21+08:00
TXG3003,1,15,38,2020-07-19T23:13:37+08:00
TXG3004,1,46,14,2020-07-19T23:13:30+08:00
TXG3005,1,40,0,2020-07-19T23:13:31+08:00
TXG3006,1,27,30,2020-07-19T23:13:38+08:00
TXG3007,1,37,3,2020-07-19T23:13:42+08:00
TXG3008,1,10,28,2020-07-19T23:13:25+08:00
TXG3009,1,29,11,2020-07-19T23:13:26+08:00
TXG3010,1,32,44,2020-07-19T23:13:41+08:00
TXG3011,1,23,21,2020-07-19T23:13:24+08:00
TXG3012,1,32,11,2020-07-19T23:13:24+08:00
TXG3013,1,27,22,2020-07-19T23:13:33+08:00
TXG3014,1,27,23,2020-07-19T23:13:21+08:00
TXG3015,1,45,21,2020-07-19T23:13:15+08:00
TXG3016,1,33,21,2020-07-19T23:12:35+08:00
TXG3017,1,30,28,2020-07-19T23:13:39+08:00
TXG3018,1,37,17,2020-07-19T23:13:19+08:00
TXG3019,1,36,16,2020-07-19T23:13:23+08:00
TXG3020,1,7,41,2020-07-19T23:13:29+08:00
TXG3021,1,31,9,2020-07-19T23:13:32+08:00
TXG3022,1,36,46,2020-07-19T23:13:36+08:00
TXG3023,1,31,17,2020-07-19T23:13:19+08:00
TXG3024,1,30,18,2020-07-19T23:13:42+08:00
TXG3025,1,23,19,2020-07-19T23:13:15+08:00
TXG3026,1,25,17,2020-07-19T23:13:33+08:00
TXG3027,1,36,24,2020-07-19T23:13:45+08:00
TXG3028,1,23,16,2020-07-19T23:13:31+08:00
TXG3029,1,18,22,2020-07-19T23:13:41+08:00
TXG3030,1,23,17,2020-07-19T23:13:25+08:00
TXG3031,1,25,11,2020-07-19T23:13:25+08:00
TXG3032,1,32,24,2020-07-19T23:13:34+08:00
TXG3033,1,30,3,2020-07-19T23:13:21+08:00
TXG3034,1,15,49,2020-07-19T23:13:31+08:00
TXG3035,1,23,33,2020-07-19T23:13:43+08:00
TXG3036,1,20,38,2020-07-19T23:13:41+08:00
TXG3037,1,23,25,2020-07-19T23:13:33+08:00
TXG3038,1,0,0,2020-06-16T13:42:43+08:00
TXG3039,1,32,20,2020-07-19T23:13:30+08:00
TXG3040,1,26,14,2020-07-19T23:13:32+08:00
TXG3041,1,37,13,2020-07-19T23:13:27+08:00
TXG3042,1,29,31,2020-07-19T23:13:21+08:00
TXG3043,1,31,19,2020-07-19T23:13:23+08:00
TXG3044,1,22,18,2020-07-19T23:13:34+08:00
TXG3045,1,22,48,2020-07-19T23:13:22+08:00
TXG3046,1,33,10,2020-07-19T23:13:21+08:00
TXG3047,1,20,42,2020-07-19T23:13:29+08:00
TXG3048,1,28,22,2020-07-19T23:13:23+08:00
TXG3049,1,25,17,2020-07-19T23:13:40+08:00
TXG3050,1,27,17,2020-07-19T23:13:41+08:00
TXG3051,1,24,12,2020-07-19T23:13:30+08:00
TXG3052,1,23,24,2020-07-19T23:13:17+08:00
TXG3053,1,22,22,2020-07-19T23:13:25+08:00
TXG3054,1,17,29,2020-07-19T23:13:34+08:00
TXG3055,1,15,31,2020-07-19T23:13:23+08:00
TXG3056,1,23,23,2020-07-19T23:13:19+08:00
